"Aktiviti Ekonomi
Economic Activity",Year,Total,STEM Classification
"Perkhidmatan - Perkhidmatan lain
Other services",2022,1473300.0,Non-STEM
"Pertanian
Agriculture",2023,83000,STEM
"Perlombongan dan pengkuarian
Mining and quarrying",2023,46800.0,STEM
"Pembuatan - Minyak dan lemak daripada sayuran & haiwan dan prosesan makanan
Vegetable and animal oils & fats and food processing",2023,104600.0,STEM
"Pembuatan - Minuman dan produk tembakau
Beverages and tobacco products",2023,5200.0,STEM
"Pembuatan - Produk tekstil, pakaian dan kulit
Textiles, wearing apparel and leather products",2023,29300.0,STEM
"Pembuatan - Produk kayu, perabot, keluaran kertas dan percetakan
Wood products, furniture, paper products and printing",2023,57800.0,STEM
"Pembuatan - Produk petroleum, kimia, getah dan plastik
Petroleum, chemical, rubber and plastic products",2023,93400.0,STEM
"Pembuatan - Produk mineral bukan logam, logam asas dan produk logam yang direka
Non-metallic mineral products, basic metal and fabricated metal products",2023,59800.0,STEM
"Pembuatan - Produk elektrik, elektronik dan optikal
Electrical, electronic and optical products",2023,224000,STEM
"Pembuatan - Peralatan pengangkutan, pembuatan lain dan pembaikan
Transport equipment, other manufacturing and repair",2023,63800.0,STEM
"Pembinaan
Construction",2023,301100.0,Non-STEM
"Perkhidmatan - Utiliti
Utilities",2023,42100.0,Non-STEM
"Perkhidmatan - Perdagangan borong dan runcit
Wholesale and retail trade",2023,752900.0,Non-STEM
"Perkhidmatan - Makanan & minuman dan penginapan
Food & beverages and accommodation",2023,358200.0,Non-STEM
"Perkhidmatan - Pengangkutan dan penyimpanan
Transportation and storage",2023,138500.0,Non-STEM
"Perkhidmatan - Maklumat dan komunikasi
Information and communication",2023,161800.0,Non-STEM
"Perkhidmatan - Kewangan dan insurans
Finance and insurance",2023,259100.00000000003,Non-STEM
"Perkhidmatan - Hartanah dan perkhidmatan perniagaan
Real estate and business services",2023,461900.0,Non-STEM
"Perkhidmatan - Perkhidmatan lain
Other services",2023,1512600.0,Non-STEM
